param,name,Restricted Flexibility - No Learning (million $),Flexible (million $),Change in cost (%),Restricted Flexibility - Full Learning (million $),Flexible & Learning (million $),Change in cost (%)
Deforestation Rate (%),0,177.3,125.3,-31.2,161.2,95.9,-42.1
Deforestation Rate (%),0.05,177.3,126,-30.9,161.2,96,-42.1
Deforestation Rate (%),0.1,177.3,126,-30.9,161.2,96,-42.1
Deforestation Rate (%),0.15,177.3,126.6,-30.8,161.3,96,-42.1
Deforestation Rate (%),0.2,177.3,126.6,-30.8,161.3,96,-42.1
Deforestation Rate (%),0.25,177.3,126.6,-30.8,161.3,96,-42.1
Deforestation Rate (%),0.3,177.3,127,-30.3,161.4,96,-42.2
Deforestation Rate (%),0.35,177.3,127.6,-29.8,161.8,96,-42.2
Deforestation Rate (%),0.4,177.3,127.6,-29.8,161.8,96,-42.2
Deforestation Rate (%),0.45,177.4,128.2,-29.5,162,96.2,-42.2
Deforestation Rate (%),0.5,177.4,128.2,-29.5,162,96.2,-42.2
Deforestation Rate (%),0.55,177.4,130.3,-28.8,162.8,96.5,-42.2
Deforestation Rate (%),0.6,177.4,130.3,-28.8,162.8,96.5,-42.2
Deforestation Rate (%),0.65,177.6,132.6,-27.8,163.8,97.1,-42.2
Deforestation Rate (%),0.7,177.6,132.6,-27.8,163.8,97.1,-42.2
Deforestation Rate (%),0.75,177.8,136.8,-25.4,164.5,97.3,-42.1
Deforestation Rate (%),0.8,177.8,136.8,-25.4,164.5,97.3,-42.1
Deforestation Rate (%),0.85,178.4,144.6,-19.5,165.8,110.7,-34.7
Deforestation Rate (%),0.9,178.4,144.6,-19.5,165.8,110.7,-34.7
Deforestation Rate (%),0.95,187.5,187.5,0,187.5,187.5,0
Deforestation Rate (%),1,187.5,187.5,0,187.5,187.5,0
Policy target (ha),2500,50.7,42.1,-17,46.1,30,-34.9
Policy target (ha),4000,92.7,70.9,-23.5,84.5,50.9,-40.1
Policy target (ha),5500,137.7,101.4,-26.4,127,73.7,-41.8
Policy target (ha),7000,221.4,150.9,-31.8,201.2,109.2,-46.1
Policy target (ha),8500,234.1,163.6,-30.1,220.5,120.5,-45
Policy target (ha),10000,285.6,196.2,-31.3,271.1,144.1,-46.5
Policy target (ha),11500,338.7,229.2,-32.3,322.3,168.5,-47.8
Annual change in policy target (%),0.0,221.4,150.9,-31.8,201.2,109.2,-46.1
Annual change in policy target (%),0.005,329.3,201.5,-38.8,251.3,125.5,-49.7
Annual change in policy target (%),0.01,497.9,275,-44.8,365.4,163.3,-55.2
Annual change in policy target (%),0.015,550,291.1,-47.1,531,214.6,-59.6
Annual change in policy target (%),0.02,791.8,386.5,-51.2,771.1,283.6,-63.3
Annual change in policy target (%),0.025,1152,526.7,-54.3,1130.3,376.5,-66.7
Koala Landscape Capacity Index Threshold,0.1,116.2,102.1,-12.2,104.5,87.7,-15.8
